name,symbol
Harta Aman Pratama,AHAP
Apac Citra Centertex,MYTX
Argha Karya Prima Ind,AKPI
Austindo Nusantara Jaya,ANJT
Bank Bumi Arta,BNBA
Bank Maspion Indonesia,BMAS
Bank Mitraniaga,NAGA
Bank Ocbc Nisp,NISP
Bank Of India Indonesia,BSWD
Bank Qnb Indonesia,BKSW
Bayu Buana,BAYU
Bentoel Int,RMBA
Buana Finance,BBLD
Cakra Mineral,CKRA
Danayasa Arthatama,SCBD
Delta Djakarta,DLTA
Destinasi Tirta,PDES
Elang Mahkota,EMTK
Enseval Putra,EPMT
Equity Dev Inv,GSMF
Eratex Djaja,ERTX
Ever Shine Textile,ESTI
Fast Food Indonesia,FAST
Fks Multi Agro,FISH
Golden Energy Mines,GEMS
Indo Kordsa,BRAM
Indo Straits,PTIS
Indorama Synthetics,INDR
Jakarta Kyoei,JKSW
Kabelindo Murni,KBLM
Kedaung Indah Can,KICI
Kokoh Inti Arebama,KOIN
Limas Indonesia Makmur,LMAS
Lionmesh Prima,LMSH
Lotte Chemical Titan PT,FPNI
Mandala Multifinance,MFIN
Maskapai Reasuransi,MREI
Metro Realty,MTSM
Metropolitan Kentjana,MKPI
Multifiling Mitra,MFMI
Onix Capital,OCAP
Pembangunan Graha,PGLI
Pelayaran Tempuran,TMAS
Panasia Indo Resources,HDTX
Pelayaran Nelly,NELY
Pikko Land Development,RODA
Pioneerindo Gourmet,PTSP
Plaza Indonesia Realty,PLIN
Pool Advista Indonesia,POOL
Prasidha Aneka Niaga,PSDN
Provident Agro,PALM
Pudjiadi & Sons,PNSE
Reliance Securities,RELI
Ricky Putra Globalindo,RICY
Rig Tenders,RIGS
Samudera Indonesia,SMDR
Sekar Bumi,SKBM
Sepatu Bata,BATA
Smr Utama,SMRU
Sona Topas Tourism,SONA
Supreme Cable,SCCO
Sunson Textile,SSTM
Surya Toto Indonesia,TOTO
Suryamas Dutamakmur,SMDM
Tifico Fiber Indonesia,TFCO
Tigaraksa Satria,TGKA
Trans Power Marine,TPMA
Trias Sentosa,TRST
Trikomsel Oke,TRIO
Abm Investama,ABMM
Ace Hardware,ACES
Acset Indonusa,ACST
Adaro Energy,ADRO
Adhi Karya Persero,ADHI
Adi Sarana Armada,ASSA
Adira Dinamika,ADMF
Sigmagold Inti Perkasa,TMPI
Agung Podomoro,APLN
Akasha Wira,ADES
Akbar Indomakmur,AIMS
Akr Corporindo,AKRA
Alam Sutera Realty,ASRI
Alkindo Naratama,ALDO
Alumindo,ALMI
Ancora Indonesia,OKAS
Aneka Tambang Persero,ANTM
Apexindo Pratama Duta,APEX
Arita Prima Indonesia,APII
Arthavest,ARTA
Arwana Citramulia,ARNA
Asuransi Dayin Mitra,ASDM
Multi Artha Guna,AMAG
Asuransi Ramayana,ASRM
Asahimas Flat Glass,AMFG
Asia Pacific Fibers,POLY
Asiaplast Industries,APLI
Astra Agro Lestari,AALI
Astra Graphia,ASGR
Astra International,ASII
Astra Otoparts,AUTO
Asuransi Kresna Mitra,ASMI
Atlas Resources,ARII
Bara Jaya Internasional,ATPK
Bakrie & Brothers,BNBR
Bakrie Sumatera,UNSP
Bakrie Telecom,BTEL
Bakrieland,ELTY
Bank Artha Graha,INPC
Bank Negar,BBNI
Bank Bukopin,BBKP
Bank Capital Indonesia,BACA
Bank Danamon,BDMN
Bank Woori Indonesia,SDRA
Bank Mnc Internasional,BABP
Bank Ina Perdana,BINA
Bank Maybank Indonesia,BNII
Bank Mandiri Persero,BMRI
Bank Mayapada,MAYA
Bank Mega,MEGA
Bank Mestika Dharma,BBMD
Bank Nationalnobu,NOBU
Bank Pembangunan,BJBR
Bank Pan Indonesia,PNBN
Bank Panin Syariah,PNBS
Bank Pembangunan Timur,BJTM
Bank Permata,BNLI
Bank Pembangunan,BEKS
Bank Rakyat Persero,BBRI
Bank Sinarmas,BSIM
Bank Tabungan Negara,BBTN
Bank Tabungan,BTPN
Bank Victoria,BVIC
Bank Windu,MCOR
Baramulti Suksessarana,BSSR
Barito Pacific,BRPT
Bayan Resources,BYAN
Bekasi Asri Pemula,BAPA
Bekasi Fajar,BEST
Benakat Integra,BIPI
Berlina,BRNA
Betonjaya Manunggal,BTON
BFI Finance,BFIN
Bhuwanatala Indah,BIPP
Bisi International,BISI
Bank Central Asia,BBCA
Borneo Lumbung,BORN
Bank Rakyat,AGRO
Buana Listya Tama,BULL
Budi Starch & Sweetener,BUDI
Bukit Darmo,BKDP
Bukit Uluwatu Villa,BUVA
Bumi Citra Permai,BCIP
Bumi Resources Min,BRMS
Bumi Resources,BUMI
Bumi Serpong Damai,BSDE
Bumi Teknokultura,BTEK
Eagle High,BWPT
Capitalinc Inv,MTFN
Capitol Nusantara,CANI
Cardig Aero,CASS
Catur Sentosa,CSAP
Central Proteina,CPRO
Centratama Telekom,CENT
Rimau Multi,CMPP
Champion Pacific,IGAR
Chandra Asri Petro,TPIA
Charoen Pokphand Indonesia,CPIN
Ciputra Dev,CTRA
Citatah,CTTH
Citra Marga,CMNP
Clipan Finance,CFIN
Colorpak Indonesia,CLPI
Cowell Development,COWL
Darma Henwa,DEWA
Darya-Varia,DVLA
Delta Dunia Makmur,DOID
Dharma Samudera,DSFI
Dharma Satya,DSNG
Duta Pertiwi Nusantara,DPNS
Duta Anggada,DART
Duta Pertiwi,DUTI
Dyandra Media,DYAN
Ekadharma,EKAD
Electronic City Ind,ECII
Elnusa,ELSA
Energi Mega Persada,ENRG
Erajaya Swasembada,ERAA
Eterindo Wahanatama,ETWA
Eureka Prima Jakarta,LCGP
Evergreen Invesco,GREN
Exploitasi Energi,CNKO
Express Transindo,TAXI
Fajar Surya Wisesa,FASW
First Media,KBLV
Fortune Indonesia,FORU
Fortune Mate,FMII
Gading Development,GAMA
Gajah Tunggal,GJTL
Garda Tujuh Buana,GTBO
Garuda Indonesia,GIAA
Gema Grahasarana,GEMA
Global Mediacom,BMTR
Global Teleshop,GLOB
Golden Eagle Energy,SMMT
Visi Telekomunikasi,GOLD
Gowa Makassar,GMTD
Gozco Plantations,GZCO
Graha Layar Prima,BLTZ
Grand Kartech,KRAH
Greenwood Sejahtera,GWSA
Gudang Garam,GGRM
Gunawan Dianjaya Steel,GDST
Hanson,MYRX
Hanson Prf,MYRX_p
Harum Energy,HRUM
Hero Supermarket,HERO
Hexindo Adiperkasa,HEXA
Holcim Indonesia,SMCB
Hotel Mandarine Regency,HOME
Hotel Sahid Jaya,SHID
Ictsi Jasa Prima,KARW
Indonesia Trans & Infr,IATA
Indah Kiat Pulp & Paper,INKP
Indal Aluminium,INAI
Indika Energy,INDY
Indo Acidatama,SRSN
Indo Tambangraya,ITMG
Indocement Tunggal,INTP
Indofarma,INAF
Indofood Cbp,ICBP
Indofood,INDF
Indomobil Multi Jasa,IMJS
Indomobil Sukses,IMAS
Indopoly Swakarsa,IPOL
Indoritel Makmur,DNET
Indosat,ISAT
Indospring,INDS
Jamu dan Farmasi Sido,SIDO
Intanwijaya,INCI
Intermedia Capital,MDIA
Inti Bangun Sejahtera,IBST
Intikeramik Alamasri,IKAI
Intiland Development,DILD
Intraco Penta,INTA
Island Concepts,ICON
J Resources,PSAB
Jaya Agra Wattie,JAWA
Japfa Comfeed Indonesia,JPFA
Jasa Marga,JSMR
Jasuindo Tiga Perkasa,JTPE
Jaya Konstruksi,JKON
Jaya Real Property,JRPT
Jembo Cable Company,JECC
Jakarta Int Hotels & Dev,JIHD
Kawasan Jababeka,KIJA
Kalbe Farma,KLBF
Kedawung Setia,KDSI
Keramika Indonesia,KIAS
Kertas Basuki Rachmat,KBRI
Kimia Farma Persero,KAEF
Kmi Wire And Cable,KBLI
Kobexindo Tractors,KOBX
Krakatau Steel Persero,KRAS
Kresna Graha Investama,KREN
Langgeng Makmur,LMPI
Lautan Luas,LTLS
Leyand International,LAPD
Lippo Cikarang,LPCK
Lippo General Insurance,LPGI
Lippo Karawaci,LPKR
Lippo Securities,LPPS
Logindo Samudramakmur,LEAD
PP London Sumatra,LSIP
Mahaka Media,ABBA
Malindo Feedmill,MAIN
Mandom Indonesia,TCID
Martina Berto,MBTO
Matahari,LPPF
Matahari Putra Prima,MPPA
Mayora Indah,MYOR
Medco Energi,MEDC
Media Nusantara Citra,MNCN
Megapolitan Dev,EMDE
Metrodata Electronics,MTDL
Metropolitan Land,MTLA
Midi Utama Indonesia,MIDI
Millennium Pharma,SDPC
Minna Padi Investama,PADI
Mitra Adiperkasa,MAPI
Mitra Int,MIRA
Mitra Investindo,MITI
Mitra Pinasthika,MPMX
Mitrabahtera Segara,MBSS
Mnc Investama,BHIT
Mnc Kapital Ind,BCAP
Mnc Land,KPIG
Mnc Sky Vision,MSKY
Modern Internasional,MDRN
Modernland Realty Ltd,MDLN
Mulia Industrindo,MLIA
Multi Agro Gemilang Plantation,MAGP
Multi Bintang Ind,MLBI
Multi Indocitra,MICE
Multi Prima Sejahtera,LPIN
Multipolar,MLPL
Multipolar Technology,MLPT
Multistrada Arah Sarana,MASA
Mustika Ratu,MRAT
Nippon,ROTI
Nipress,NIPS
Nirvana Development,NIRO
Nusa Konstruksi,DGIK
Nusa Raya Cipta,NRCA
Nusantara Infra,META
Perusahaan Gas Negara,PGAS
Pembangunan Jaya Ancol,PJAA
Pacific Strategic,APIC
Pakuwon Jati,PWON
Pan Brothers,PBRX
Panin Financial,PNLF
Paninvest,PNIN
Panin Sekuritas,PANS
Panorama Sentrawisata,PANR
Weha Transportasi,WEHA
Pelangi Indah Canindo,PICO
Pelat Timah Nusantara,NIKL
Pelayaran Nasional,BBRM
Perdana Gapura Prima,GPRA
Perdana Karya Perkasa,PKPK
Petrosea,PTRO
Polaris Investama,PLAS
Polychem Indonesia,ADMG
Pp Persero,PTPP
Prima Alloy Steel,PRAS
